RegistroANS;RazaoSocial;Trimestre;Ano;ValorDespesas
303178;NÃO INFORMADA;1;2025;20501217.40
303844;NÃO INFORMADA;1;2025;17596631.12
304344;NÃO INFORMADA;1;2025;29037285.40
300136;NÃO INFORMADA;1;2025;37442273.22
301949;NÃO INFORMADA;1;2025;220462348.06
304468;NÃO INFORMADA;1;2025;37705082.73
305227;NÃO INFORMADA;1;2025;30983505.07
302627;NÃO INFORMADA;1;2025;9959437.79
304701;NÃO INFORMADA;1;2025;1146226248.90
301728;NÃO INFORMADA;1;2025;18310087.35
304123;NÃO INFORMADA;1;2025;17604228.60
303623;NÃO INFORMADA;1;2025;193047280.02
303267;NÃO INFORMADA;1;2025;111292438.45
306754;NÃO INFORMADA;1;2025;11537123.85
306886;NÃO INFORMADA;1;2025;208701135.32
309907;NÃO INFORMADA;1;2025;58728914.32
311146;NÃO INFORMADA;1;2025;19112166.52
311847;NÃO INFORMADA;1;2025;108551660.40
312347;NÃO INFORMADA;1;2025;65268663.65
305472;NÃO INFORMADA;1;2025;33355373.96
306045;NÃO INFORMADA;1;2025;2391016.34
310239;NÃO INFORMADA;1;2025;5924910.45
310522;NÃO INFORMADA;1;2025;52692738.84
311375;NÃO INFORMADA;1;2025;64114448.95
308811;NÃO INFORMADA;1;2025;10806538.00
309222;NÃO INFORMADA;1;2025;578486304.34
312126;NÃO INFORMADA;1;2025;602721409.37
310981;NÃO INFORMADA;1;2025;3447026.87
306100;NÃO INFORMADA;1;2025;47798920.56
306762;NÃO INFORMADA;1;2025;67504765.46
311294;NÃO INFORMADA;1;2025;43471789.43
309028;NÃO INFORMADA;1;2025;2817470.33
422053;NÃO INFORMADA;1;2025;35121990.99
422371;NÃO INFORMADA;1;2025;7098552.59
422576;NÃO INFORMADA;1;2025;0
422681;NÃO INFORMADA;1;2025;22554985.50
423319;NÃO INFORMADA;1;2025;13780354.05
421766;NÃO INFORMADA;1;2025;16715726.86
422355;NÃO INFORMADA;1;2025;333065.96
423408;NÃO INFORMADA;1;2025;376454.29
422151;NÃO INFORMADA;1;2025;4020531.32
422746;NÃO INFORMADA;1;2025;445126.4
422835;NÃO INFORMADA;1;2025;3526467.71
421871;NÃO INFORMADA;1;2025;2877103.49
422070;NÃO INFORMADA;1;2025;21893087.11
423173;NÃO INFORMADA;1;2025;78919335.62
422304;NÃO INFORMADA;1;2025;1536634.02
422754;NÃO INFORMADA;1;2025;335240.73
423335;NÃO INFORMADA;1;2025;10637906.40
422401;NÃO INFORMADA;1;2025;0
